cgpa,projects,communication_skills,internship,programming_skills,technical_skills,certifications,aptitude,interview_score,placement_status
6.51,5,8.0,0,7.1,7.3,2,67.9,65.5,1
7.46,1,7.0,0,5.7,5.9,0,74.1,70.0,1
8.13,6,6.8,0,7.2,8.3,2,91.1,77.2,1
6.79,3,4.9,1,7.1,7.1,3,69.8,41.9,1
7.53,4,7.5,0,5.3,6.5,2,77.2,63.3,1
7.47,5,4.2,1,7.2,7.4,4,87.1,58.7,1
8.66,6,6.9,1,9.3,8.0,2,94.0,66.0,1
7.9,3,6.6,1,4.6,3.7,1,66.9,59.0,1
5.76,0,6.3,0,5.5,5.9,0,48.1,57.9,0
9.31,4,6.6,1,6.6,6.7,1,89.8,65.1,0
6.48,5,6.4,0,8.6,7.8,3,67.7,67.7,1
6.6,1,6.8,0,5.9,5.8,1,62.2,60.4,0
7.25,0,5.0,0,5.0,6.0,1,63.7,70.1,0
4.7,0,5.4,0,4.7,3.8,2,46.7,42.5,0
7.35,1,6.8,0,5.4,5.9,2,74.8,59.1,1
6.16,0,3.9,0,5.5,5.8,0,48.3,47.3,0
6.79,2,5.7,1,6.2,6.1,1,72.7,63.3,1
5.71,1,4.5,0,5.4,5.8,0,46.3,54.1,0
7.54,5,7.6,1,9.0,7.4,4,68.4,76.8,1
7.73,3,7.8,0,8.3,7.2,0,67.9,63.3,1
6.62,3,5.0,0,7.4,7.5,0,62.4,62.4,1
6.29,1,5.1,0,5.1,5.2,2,66.2,50.5,0
5.6,4,8.0,0,6.8,7.1,3,54.5,76.9,1
6.77,3,8.1,1,4.9,6.4,1,70.5,76.0,1
7.66,6,7.0,1,9.0,8.5,2,88.1,73.4,1
6.81,2,6.2,0,4.6,4.1,1,62.2,51.0,0
7.4,7,6.2,0,7.8,8.9,3,94.2,73.3,1
7.02,2,5.9,0,6.4,5.1,2,80.7,57.4,1
7.46,3,5.8,0,7.7,7.1,2,74.3,56.7,1
6.58,3,6.6,0,7.2,7.9,3,65.0,76.5,1
6.67,0,3.6,0,3.9,3.7,0,68.7,35.0,1
7.35,0,8.0,1,5.0,4.7,0,57.0,67.8,1
6.79,4,3.0,0,6.8,6.6,3,70.2,35.0,1
7.64,4,5.5,0,7.2,7.9,2,76.6,50.0,1
6.93,1,6.0,1,5.7,5.6,2,63.1,65.6,1
8.33,2,5.9,0,6.0,5.6,3,79.0,55.0,0
6.24,1,5.7,0,5.8,6.0,0,60.6,61.0,0
5.78,0,5.0,0,3.6,3.8,0,46.1,47.6,0
5.71,2,5.4,0,6.2,6.3,1,56.0,50.7,0
6.95,5,6.3,1,5.9,7.0,2,67.8,57.9,1
8.58,4,6.4,1,6.3,5.7,2,89.4,59.6,1
6.68,2,6.3,1,7.3,6.4,0,54.4,75.7,0
7.85,3,5.1,0,7.9,6.8,3,75.8,50.5,1
7.11,4,5.9,1,7.4,7.8,3,64.7,65.5,1
7.18,3,6.0,1,5.7,5.3,1,68.2,69.1,1
7.31,2,6.9,0,3.6,4.5,2,68.8,63.9,0
7.92,4,7.5,1,7.6,6.9,1,83.2,75.5,1
6.96,0,6.2,0,5.9,4.5,0,62.0,50.6,0
6.15,2,6.2,0,5.8,4.8,0,63.4,59.1,0
6.62,2,5.7,0,6.1,4.8,0,57.8,56.4,1
5.0,1,4.8,0,3.1,4.0,1,35.0,47.8,0
7.95,6,6.7,1,9.0,8.2,3,78.6,72.0,1
7.0,1,7.9,0,4.2,4.6,3,63.4,57.8,0
6.57,3,5.9,1,6.7,6.5,1,57.3,51.7,1
6.74,2,5.4,0,6.8,5.3,3,60.5,56.4,1
7.17,3,4.1,0,6.0,6.5,1,55.6,53.6,1
4.95,2,5.7,0,5.4,4.6,1,50.7,52.6,0
6.07,2,8.9,0,7.6,7.1,0,51.2,74.9,1
5.95,2,6.6,0,4.9,4.8,1,65.3,56.6,0
6.14,3,7.4,0,7.1,7.0,2,69.8,60.3,1
8.29,2,6.7,0,6.4,6.8,1,81.2,65.8,1
7.48,4,7.8,1,6.0,6.2,3,62.1,74.8,1
7.13,4,8.6,0,6.8,7.5,1,74.0,73.4,1
7.27,4,6.2,1,9.1,8.7,4,73.7,75.7,1
7.16,0,5.6,0,5.4,4.4,0,73.1,52.8,0
7.63,3,7.0,0,5.9,6.5,3,62.1,64.2,1
8.1,3,9.3,1,6.0,6.0,3,82.2,83.9,1
6.99,4,7.8,0,6.9,6.7,3,84.0,83.8,1
6.87,4,8.4,1,5.6,4.9,1,66.9,67.0,1
5.82,4,6.1,0,5.0,3.2,2,45.7,48.0,0
9.8,0,6.6,0,8.0,8.5,1,100.0,68.9,1
6.62,0,5.2,0,4.4,4.2,1,47.5,54.1,0
7.66,4,5.5,0,9.2,8.5,3,79.5,69.8,1
8.92,5,6.6,1,6.4,6.0,2,95.1,69.5,1
7.58,5,7.9,1,6.3,6.0,2,75.6,74.6,1
8.09,4,6.6,1,6.6,7.0,3,80.2,66.2,1
7.37,3,6.0,0,5.7,5.0,2,69.4,50.7,1
6.69,3,5.9,0,5.8,5.6,3,72.3,48.9,0
6.72,0,4.4,0,4.9,3.5,1,63.1,37.9,0
7.31,6,7.1,1,9.0,8.7,4,79.1,67.3,1
7.41,7,7.3,1,8.6,9.1,3,78.8,82.2,1
5.93,2,5.3,0,4.4,5.7,0,64.0,56.9,0
7.63,4,8.6,1,6.0,5.8,1,74.8,79.4,1
5.96,3,7.6,0,6.6,6.4,3,68.6,75.0,1
5.28,2,6.6,0,5.1,5.0,2,44.5,58.9,0
7.22,2,7.8,0,6.9,5.3,1,66.4,63.7,1
7.14,1,4.5,0,5.1,4.5,0,74.9,42.4,0
6.62,1,4.9,1,5.9,6.0,0,60.5,58.1,0
7.37,3,5.8,0,7.4,6.4,1,76.1,56.1,0
8.06,8,9.4,1,9.7,10.0,3,100.0,90.2,1
5.77,3,4.7,0,6.1,5.9,1,45.5,45.4,0
6.83,4,5.6,0,6.8,7.3,3,78.7,61.9,1
6.4,3,5.4,0,4.2,6.5,1,59.3,60.5,0
7.67,4,8.6,0,7.6,7.3,1,75.1,81.4,1
7.62,2,5.8,0,6.9,6.6,1,62.7,63.5,1
7.89,1,7.5,0,7.0,6.1,1,82.8,75.8,1
7.78,1,8.1,0,8.0,5.4,2,79.4,76.2,1
7.55,3,7.6,0,6.0,5.1,2,75.4,65.9,1
7.16,3,4.5,0,4.9,4.0,3,73.2,51.3,1
7.04,4,6.0,0,10.0,8.7,4,79.6,73.1,1
7.44,2,6.9,0,5.9,4.9,2,65.9,56.1,1
8.65,3,6.8,1,7.5,8.3,1,92.9,72.6,0
5.28,1,3.8,0,4.7,5.7,0,51.8,54.2,1
7.28,1,5.5,0,6.8,5.7,0,67.9,48.1,1
7.06,5,7.6,1,8.0,7.2,3,73.8,64.3,1
6.25,0,6.1,0,4.9,7.2,0,55.5,54.9,0
6.58,4,5.0,0,7.5,6.4,2,61.3,55.6,1
7.87,4,6.8,1,6.3,6.1,2,69.4,66.9,1
6.73,0,6.6,0,6.3,5.0,2,61.0,64.8,0
7.56,3,4.2,1,6.6,5.9,2,76.9,51.3,1
5.98,4,7.3,0,5.4,3.8,1,51.3,62.0,0
7.29,4,9.2,1,7.8,6.5,2,69.6,75.1,1
7.26,2,6.1,0,6.4,6.2,1,78.3,57.6,1
8.65,4,6.3,1,10.0,8.0,3,90.0,66.1,1
7.44,3,6.1,1,6.9,6.2,3,68.5,67.2,1
5.97,0,6.6,0,3.4,3.4,0,49.4,38.1,0
6.84,4,5.3,1,6.5,6.8,3,69.1,60.3,1
6.67,2,5.2,0,2.9,3.9,1,58.1,49.4,0
9.05,5,6.1,1,7.1,7.5,3,92.7,64.7,1
6.75,2,6.8,0,5.5,5.7,2,59.3,60.7,1
7.76,5,8.8,0,7.7,7.1,3,83.1,90.7,0
6.47,4,6.3,0,8.9,8.4,0,77.8,72.2,1
6.7,2,4.5,0,6.4,7.3,1,74.6,53.2,1
6.8,3,6.9,0,8.2,6.1,0,76.1,72.9,1
6.83,3,5.5,0,7.8,5.8,2,59.3,44.9,0
8.46,4,7.1,1,6.7,6.1,3,86.3,77.0,1
7.69,4,9.3,1,6.8,6.2,3,73.9,82.8,1
5.19,2,5.6,0,6.1,6.0,0,37.4,44.4,0
5.4,1,5.6,0,4.3,5.2,1,45.0,51.5,0
7.46,6,8.2,0,9.5,9.8,3,79.1,83.4,1
5.43,1,7.4,0,5.3,6.5,1,37.4,54.4,0
7.71,4,9.7,1,6.3,7.1,2,74.6,84.8,1
7.21,3,6.8,0,6.7,6.4,3,75.1,66.3,1
6.8,1,6.5,0,4.7,6.3,1,58.2,59.8,0
7.78,6,7.1,0,7.1,5.8,2,64.5,65.8,1
6.69,2,5.4,0,5.0,5.5,1,65.8,42.8,0
6.61,3,3.5,0,5.5,5.1,1,68.2,50.4,0
6.3,0,5.1,0,4.6,5.0,0,53.2,46.3,0
6.95,4,6.2,0,4.6,3.7,4,48.2,61.5,0
7.14,2,6.9,1,7.2,7.5,1,70.2,64.9,1
7.33,1,7.3,0,2.7,2.7,3,50.7,54.0,0
7.66,3,7.7,0,6.4,6.7,2,68.2,70.4,1
7.15,2,6.3,0,5.3,6.0,0,68.8,53.5,1
6.69,5,6.7,1,6.0,6.5,2,64.8,71.2,1
6.48,2,5.7,0,4.9,4.5,1,53.7,61.0,0
7.01,0,5.5,0,3.8,3.3,0,53.3,45.1,0
6.08,0,6.9,0,5.8,5.3,0,52.5,54.7,0
7.08,4,6.1,0,7.0,6.4,2,78.1,62.6,1
6.03,1,5.0,0,4.6,4.9,2,59.6,38.5,1
6.81,2,5.5,0,5.8,4.9,2,52.9,62.8,0
7.96,5,5.6,1,7.4,6.4,3,81.2,73.7,1
6.61,3,5.1,0,4.4,4.4,2,53.8,52.5,0
6.9,1,5.5,0,5.8,5.1,2,70.3,55.6,0
7.27,2,5.7,0,6.3,5.0,2,59.8,53.1,1
7.19,1,5.7,0,5.3,4.7,1,66.5,50.3,0
6.55,5,8.4,0,7.7,7.4,3,64.6,85.5,1
7.7,3,6.6,0,6.4,6.7,0,73.5,64.4,1
6.8,3,6.0,1,6.4,7.2,1,69.6,61.8,1
7.95,4,7.8,1,9.1,8.3,3,88.3,76.9,1
7.73,5,7.8,1,7.4,6.9,2,89.0,80.3,1
5.1,1,9.0,0,5.5,5.8,1,47.6,75.4,0
6.05,4,7.2,0,5.9,4.9,0,46.7,50.8,0
7.27,3,6.0,0,5.3,5.3,1,70.2,62.2,0
6.92,2,5.6,0,6.6,6.1,0,64.1,50.2,0
7.58,7,6.8,1,7.6,7.9,3,77.1,70.5,1
7.29,2,6.7,0,6.9,8.3,0,78.5,82.7,1
5.29,1,6.7,0,4.2,4.7,1,43.9,50.5,0
6.57,1,6.3,1,4.9,5.5,2,60.6,77.0,0
7.37,2,5.9,0,4.6,3.8,2,60.5,51.6,0
5.87,2,5.4,0,5.9,5.8,1,57.1,59.3,0
6.34,0,7.3,0,3.1,3.1,0,43.5,56.2,0
7.67,3,7.1,0,6.8,6.5,1,71.9,55.8,1
7.32,3,7.4,1,6.2,6.5,3,77.6,78.6,1
5.77,4,6.5,1,6.8,6.9,2,74.0,65.6,1
6.24,5,8.6,0,7.4,8.0,3,75.3,65.3,1
6.61,3,7.4,0,4.2,3.7,3,52.3,57.7,0
6.93,3,7.1,0,4.4,4.4,3,56.4,50.0,0
7.22,4,7.0,0,5.0,5.6,1,69.1,61.7,1
6.4,0,7.1,0,4.6,4.8,1,54.6,53.9,0
6.19,2,6.5,0,4.5,4.1,1,59.8,47.2,0
7.93,2,6.5,1,5.9,5.8,0,70.7,67.4,1
7.99,3,4.6,0,5.1,5.6,0,79.9,54.0,0
7.18,2,6.2,0,4.6,3.7,2,65.1,65.1,0
7.54,3,6.6,1,8.9,8.7,1,71.7,78.0,1
9.51,6,6.9,1,9.5,8.9,3,100.0,80.5,1
7.15,0,7.2,0,4.3,4.9,0,69.4,55.9,0
6.99,6,6.4,1,7.4,7.0,4,76.8,72.3,1
5.98,2,6.8,0,4.9,4.0,2,43.8,42.9,0
6.53,4,6.1,0,6.0,5.1,2,71.8,63.6,1
8.19,3,7.5,0,5.6,5.9,0,75.8,70.2,0
7.48,2,8.2,0,6.8,7.4,1,81.6,88.2,1
6.65,2,7.4,1,7.3,7.9,0,67.1,88.3,1
8.11,4,6.0,1,6.4,6.4,2,79.5,62.1,1
7.09,3,6.7,0,7.2,5.5,2,84.2,75.5,1
5.86,2,4.2,0,4.8,5.7,3,57.7,54.1,0
7.41,5,5.7,1,8.3,8.9,2,79.6,78.2,1
6.52,3,8.4,1,7.1,6.9,1,59.3,93.5,1
4.67,1,6.8,0,4.0,3.8,1,36.9,58.9,0
8.8,4,6.5,0,8.2,8.5,1,97.3,71.9,1
4.5,0,5.7,0,3.6,2.6,1,35.0,35.0,0
7.17,1,4.2,0,6.6,6.3,2,59.8,42.8,0
5.74,1,6.9,0,5.8,5.8,0,50.0,64.0,1
6.1,2,5.9,0,5.0,4.3,2,48.7,44.9,0
6.5,5,6.3,0,7.9,7.7,4,73.0,63.7,1
6.22,1,6.1,0,4.7,4.5,1,59.0,40.2,0
6.59,0,5.2,0,4.8,4.4,2,51.7,46.5,0
7.1,4,8.4,1,6.0,6.2,2,60.8,73.1,1
6.53,3,7.5,0,8.1,7.1,3,70.4,75.3,1
6.81,4,9.7,1,8.2,7.3,2,68.6,89.2,1
5.08,3,8.2,0,6.6,6.4,2,50.7,89.1,0
7.02,1,6.8,0,4.9,4.3,2,72.7,47.0,0
6.62,2,7.4,0,5.0,5.4,1,58.6,62.0,1
5.97,0,5.8,0,5.0,5.4,0,47.1,65.9,0
7.99,4,6.9,1,6.3,6.5,3,75.9,65.2,1
8.63,6,5.8,0,8.0,7.9,4,83.4,60.8,1
5.56,3,7.4,0,6.1,6.3,2,43.0,69.8,0
5.86,0,3.3,0,3.6,4.1,0,54.6,38.9,0
5.7,1,5.9,1,5.3,4.6,2,58.5,52.6,0
5.62,1,6.0,0,5.6,4.2,2,39.0,48.4,0
4.89,1,5.4,0,4.3,3.6,1,35.2,44.7,0
6.19,3,5.7,1,6.8,5.9,1,52.5,59.9,0
8.0,4,7.7,0,7.7,6.4,2,86.5,52.0,1
6.59,3,7.2,0,6.2,5.8,1,58.9,62.6,1
6.25,1,5.4,0,3.6,4.2,1,58.4,37.8,0
6.61,4,6.4,0,4.4,5.0,2,56.9,63.2,0
6.36,0,5.6,0,5.4,6.3,0,46.2,60.5,0
5.8,2,5.8,0,4.1,4.2,2,41.4,54.8,0
7.37,0,6.7,1,4.3,3.7,1,45.6,56.7,0
7.21,3,6.1,0,5.5,5.4,1,66.3,48.8,1
7.31,2,6.0,0,6.6,6.3,1,68.2,54.4,1
5.51,0,3.9,0,2.6,2.5,0,46.2,35.0,1
7.57,6,8.6,1,8.6,7.5,3,73.4,82.1,0
7.12,1,4.6,0,4.5,4.0,1,59.1,37.9,0
5.36,0,6.1,0,2.9,4.8,0,52.8,51.5,0
7.6,5,6.7,0,7.6,7.0,2,74.4,62.2,0
5.4,1,5.3,0,6.1,6.6,0,45.7,49.5,0
8.63,5,6.6,0,7.5,7.5,2,88.5,64.0,1
6.84,4,9.1,1,7.6,7.2,2,84.6,96.0,1
5.72,2,7.5,0,5.3,4.8,1,43.2,73.1,0
7.6,3,6.8,0,6.1,6.8,4,72.6,68.9,1
5.81,2,5.5,0,5.2,5.8,1,49.2,45.8,0
7.68,4,7.6,0,5.9,6.2,3,72.5,62.0,1
9.0,7,8.9,1,9.8,8.6,3,95.7,88.5,1
7.58,0,5.8,0,4.6,3.8,0,68.4,47.2,0
7.26,3,7.0,0,6.2,6.7,0,63.6,60.3,1
7.89,6,7.3,0,8.3,7.8,4,69.7,62.3,1
7.04,2,5.7,1,6.7,6.2,2,82.9,62.4,1
7.11,1,5.2,0,6.3,5.5,0,83.2,51.3,1
7.6,2,7.3,0,5.7,5.1,0,81.9,71.9,1
5.4,0,5.4,0,4.3,4.3,0,39.2,48.1,0
7.5,3,7.5,0,7.3,5.3,2,77.4,56.1,1
8.17,5,6.2,1,9.0,8.8,3,95.3,66.1,1
5.87,3,7.5,0,5.1,4.5,2,61.1,76.1,0
7.54,5,7.7,1,8.7,7.9,3,72.5,88.8,1
7.05,2,6.5,0,4.3,5.5,1,63.7,63.7,0
6.14,5,6.8,0,8.8,7.6,2,58.1,80.3,0
5.41,2,5.7,1,6.0,6.9,3,55.5,49.3,0
7.73,1,6.9,1,5.2,5.1,1,75.3,73.3,1
6.8,3,6.0,1,4.6,5.4,2,58.0,54.3,0
7.82,6,6.6,0,6.9,7.1,3,86.1,70.9,1
6.97,3,5.6,1,6.1,5.5,2,47.1,50.5,1
6.22,4,6.0,0,6.0,5.5,3,67.2,48.3,0
6.32,4,7.5,1,7.2,7.6,1,69.1,85.5,1
6.08,0,6.2,0,5.4,5.3,1,59.9,59.0,0
6.29,3,7.1,1,6.9,6.0,1,66.6,71.5,1
6.73,3,3.6,0,4.9,6.8,1,62.3,47.5,0
6.88,3,6.6,0,7.3,6.6,2,65.5,68.6,1
8.44,3,5.0,1,5.7,5.7,4,99.9,66.1,1
7.08,0,8.7,1,7.2,6.3,1,69.3,88.2,1
6.32,0,7.2,0,3.9,2.5,0,58.1,58.6,0
7.67,2,7.6,0,5.3,4.8,1,67.0,65.0,1
5.86,1,7.0,0,4.1,3.7,2,53.0,46.4,1
6.37,1,6.1,0,6.5,5.3,1,58.4,65.0,0
6.77,4,8.1,1,6.3,6.1,4,73.2,64.3,1
6.3,0,5.2,0,4.2,4.1,0,58.6,44.9,0
6.74,3,6.3,0,7.4,7.2,2,83.4,59.3,1
7.88,3,6.6,0,7.6,6.4,2,90.8,57.2,1
5.93,2,6.8,0,5.4,6.6,2,57.6,70.7,0
6.82,0,4.1,0,2.5,2.5,0,46.0,35.0,0
5.69,3,4.5,0,5.9,5.1,1,55.5,49.4,0
7.31,4,6.2,1,8.4,8.1,2,80.1,67.4,1
7.34,1,5.0,0,4.8,5.6,0,67.7,45.8,0
5.52,1,5.9,0,5.1,4.4,2,51.4,54.0,0
6.22,0,5.5,0,4.9,4.6,0,52.7,48.6,0
7.23,3,7.0,1,5.9,6.0,1,63.9,58.1,1
7.66,3,8.2,0,6.7,7.1,2,78.1,73.0,1
6.06,3,6.8,0,4.6,4.5,1,59.2,54.3,0
5.61,1,5.8,0,6.4,6.2,2,54.9,43.3,0
6.79,4,6.3,0,7.2,6.8,1,62.7,63.7,1
7.22,4,6.0,1,7.3,6.4,1,78.1,52.0,0
7.52,6,10.0,1,8.1,7.4,2,79.6,87.4,1
8.16,5,6.3,0,7.4,7.7,3,95.4,72.8,1
7.54,5,7.5,1,7.0,7.0,3,72.9,72.9,1
6.55,4,8.1,0,6.8,6.2,3,66.6,67.3,1
9.03,6,7.2,1,9.0,7.5,4,100.0,87.3,1
6.29,0,6.1,0,5.8,4.9,0,56.3,55.3,0
6.58,1,4.0,0,4.7,4.4,2,62.8,35.0,0
6.66,3,9.4,1,7.0,5.9,3,74.5,78.7,1
6.68,3,4.9,0,6.5,7.0,2,74.8,61.2,1
7.11,5,7.7,1,6.7,6.1,2,75.4,70.4,1
7.05,5,7.4,1,7.7,7.0,4,72.9,70.4,1
8.31,4,8.2,0,5.6,6.7,3,93.8,74.2,0
6.5,3,5.8,1,4.7,4.4,3,54.1,58.6,0
6.88,1,6.4,0,5.1,4.4,3,66.6,60.2,0
6.71,0,8.8,1,6.0,6.0,0,65.6,72.7,1
6.29,0,5.1,0,4.1,4.6,3,46.8,45.7,0
5.08,1,6.9,0,5.7,4.9,1,44.0,58.1,0
7.56,7,8.1,1,7.5,7.5,5,79.3,76.9,1
6.47,3,7.3,0,6.7,6.7,0,64.7,65.3,1
6.16,1,3.7,0,3.0,3.4,0,41.6,36.3,0
6.7,4,6.9,1,6.4,5.5,2,58.8,67.0,1
7.89,3,5.8,0,5.4,6.8,0,69.2,55.9,1
7.06,2,7.3,0,7.8,7.2,1,70.3,74.6,1
7.42,1,6.2,0,5.1,4.8,1,65.9,60.5,1
6.88,4,6.2,1,6.7,6.8,1,69.6,63.3,1
7.5,2,6.3,0,8.5,7.2,1,83.8,65.9,1
6.67,4,7.2,1,6.7,5.6,1,58.4,68.2,1
5.95,2,6.2,0,3.8,3.6,2,46.4,50.6,0
6.72,0,5.9,0,3.9,3.4,1,49.2,48.2,0
6.65,3,6.3,0,5.8,5.2,0,53.5,58.7,0
8.64,4,8.4,0,8.3,7.9,3,86.7,75.5,1
8.54,5,5.3,1,9.4,8.2,4,90.0,67.2,0
6.33,2,5.4,0,4.8,4.0,3,48.5,51.8,0
9.8,6,7.6,1,8.3,7.0,2,95.6,71.1,1
7.48,3,8.3,1,7.7,8.0,2,83.0,73.3,1
7.95,4,7.1,0,7.8,7.2,1,89.5,69.4,1
6.25,3,5.9,0,6.8,6.0,2,61.9,61.4,0
7.71,3,6.5,0,4.6,5.5,1,68.4,54.2,1
6.22,6,5.2,0,7.8,8.2,5,63.3,59.6,1
7.29,4,6.6,0,6.8,5.3,3,69.4,61.2,1
7.54,5,4.5,0,6.8,7.0,2,78.4,57.0,1
8.35,5,6.8,1,8.6,10.0,4,94.9,83.5,1
6.52,2,5.8,0,6.6,6.3,0,61.4,57.8,0
9.41,6,6.2,1,9.8,9.9,3,100.0,86.6,1
6.1,3,7.2,0,7.2,6.3,2,45.8,72.1,1
6.0,2,6.1,1,5.1,4.4,1,51.5,45.3,1
7.57,4,5.2,1,7.1,7.2,1,75.0,66.7,1
6.1,3,6.2,0,6.5,6.3,2,59.6,63.7,0
6.79,4,7.4,0,6.7,6.7,3,70.6,78.2,1
7.5,2,6.8,1,7.3,6.6,1,78.5,69.6,1
7.92,3,5.5,0,6.0,5.5,3,83.2,66.0,1
8.81,6,8.9,1,9.7,9.3,3,98.6,75.2,1
7.41,2,8.1,1,7.2,6.4,2,77.3,66.2,1
6.42,2,6.7,1,5.6,4.9,0,60.2,58.6,0
6.91,4,7.0,0,8.1,7.6,2,78.1,71.7,1
7.07,0,6.4,0,4.6,4.9,1,65.0,64.7,0
7.68,1,7.6,0,7.1,7.1,0,87.2,82.3,1
7.32,4,5.8,0,8.8,8.3,3,70.2,64.2,1
9.16,5,5.9,0,8.0,7.3,4,99.9,61.6,1
5.96,2,7.6,0,5.8,6.4,2,50.6,64.5,1
5.46,4,6.8,0,6.4,6.3,3,54.0,58.5,0
5.41,1,5.6,0,5.5,4.0,2,49.0,40.2,0
6.64,4,7.4,1,5.6,5.9,3,58.2,65.3,1
7.7,0,8.7,0,4.5,4.7,0,71.8,67.9,1
4.68,0,4.8,0,3.5,4.4,0,35.0,36.2,0
7.18,5,4.6,1,7.2,6.8,1,69.8,52.8,0
8.24,5,6.3,0,8.2,6.8,2,90.4,73.3,1
7.86,5,7.7,0,8.0,8.4,3,79.9,76.7,1
6.12,2,5.5,0,5.6,3.3,3,46.5,48.8,0
6.27,0,5.3,0,5.1,5.4,2,52.6,57.5,0
8.34,2,6.1,0,6.6,6.0,0,91.0,71.6,1
7.05,1,4.9,0,5.1,4.6,2,54.2,51.4,1
7.93,1,6.1,0,5.4,6.3,1,70.2,66.6,1
7.3,3,5.9,0,6.6,6.5,2,73.6,61.9,1
8.8,3,8.1,1,8.4,7.4,1,94.0,79.3,0
8.34,5,6.3,1,6.5,7.3,2,84.2,77.9,1
7.85,6,6.2,1,9.0,8.2,2,83.9,67.6,1
6.52,4,7.3,0,6.6,5.3,4,55.7,65.8,1
6.29,1,7.6,0,4.9,5.2,4,57.5,60.9,0
6.6,4,6.0,0,6.4,6.6,3,60.4,60.5,1
7.52,5,6.5,1,6.8,6.1,2,85.6,76.1,1
6.14,1,4.6,0,4.7,5.1,1,57.1,35.0,0
7.22,5,6.6,1,8.5,9.1,2,78.1,81.0,1
6.01,1,3.9,1,3.8,3.9,2,60.8,39.2,0
7.15,3,6.3,0,5.3,6.2,2,73.9,59.5,0
8.87,4,5.2,0,8.2,8.2,2,97.9,76.5,0
8.15,5,7.1,1,9.4,8.2,4,100.0,82.3,1
7.22,2,4.7,0,5.1,5.0,1,65.6,50.8,0
5.37,1,5.3,0,4.7,4.0,0,42.3,48.1,0
6.76,3,7.2,0,6.1,6.4,2,58.2,61.0,1
7.64,1,7.2,0,5.3,4.3,0,74.0,66.1,1
5.55,1,6.9,0,5.2,5.2,3,52.3,67.2,0
6.28,0,6.9,0,3.5,4.0,2,48.6,48.6,0
8.03,3,6.1,0,6.9,6.5,1,65.2,73.3,1
6.79,4,9.8,0,6.0,4.7,3,68.3,67.6,1
7.36,3,6.8,1,6.5,6.2,1,70.9,75.1,1
6.54,4,7.4,0,6.3,7.9,1,65.6,63.7,1
7.41,2,7.0,1,7.8,6.8,3,76.7,58.3,1
4.97,0,5.8,0,2.9,2.6,0,44.6,60.3,1
6.96,2,7.3,1,7.0,5.7,0,64.5,65.4,1
6.72,0,6.4,0,2.6,3.2,1,62.4,56.5,0
8.34,5,7.6,1,7.0,7.2,3,78.7,71.6,0
6.51,2,7.3,1,6.3,6.0,2,64.0,60.9,1
6.48,1,6.0,0,5.4,4.7,2,56.1,62.0,0
7.43,3,5.8,1,7.8,6.6,3,76.8,73.2,1
6.61,4,6.9,1,7.7,6.3,2,72.1,75.1,1
7.58,3,8.8,0,7.4,7.0,1,69.1,80.1,1
6.98,2,7.5,0,5.7,5.5,1,64.5,60.7,1
4.5,0,5.6,0,4.0,3.8,0,35.0,46.5,0
5.9,2,6.6,0,7.1,7.0,2,62.5,65.3,1
8.29,5,7.5,1,8.9,7.8,4,82.1,77.2,1
5.65,1,5.6,0,3.3,3.9,2,41.4,46.7,0
8.82,6,5.2,1,8.3,7.5,2,93.9,62.4,1
6.92,2,8.8,1,3.7,4.8,2,72.9,77.6,1
6.31,3,6.3,0,5.7,5.4,2,52.7,64.4,0
7.66,0,7.0,0,5.9,6.3,0,65.7,67.9,0
6.69,1,8.4,0,4.2,3.6,2,63.8,72.4,0
7.2,1,6.2,0,5.1,3.6,1,67.9,53.1,0
7.58,3,8.7,1,8.5,8.4,2,87.3,78.2,1
7.16,2,5.1,1,5.6,6.4,2,63.6,53.8,1
7.52,3,7.1,0,6.6,6.4,3,63.0,60.1,1
8.66,2,6.5,0,5.9,6.8,1,83.2,65.9,1
5.88,1,6.0,0,4.4,4.1,2,38.9,52.9,0
7.59,5,8.4,1,8.5,8.9,3,69.4,90.4,1
6.63,0,6.4,1,6.7,5.6,1,61.2,71.3,1
7.08,4,6.5,0,6.8,6.4,2,71.5,66.8,1
7.1,2,7.7,0,4.6,5.1,1,59.3,63.2,1
8.01,7,8.3,0,9.3,9.4,3,83.0,70.2,1
7.22,3,5.7,0,6.2,6.0,4,73.8,53.3,1
6.03,1,5.9,0,5.2,4.3,0,57.4,54.8,0
6.82,0,5.0,0,5.5,5.3,2,62.7,42.6,0
6.52,1,5.9,0,5.7,4.6,2,58.1,63.1,0
7.86,3,7.0,0,6.9,6.2,2,66.6,73.3,1
6.92,2,6.5,0,4.7,6.2,2,70.0,64.2,0
6.95,2,7.4,0,5.5,6.1,1,62.5,49.7,1
6.22,4,6.0,0,7.9,7.7,3,68.1,64.2,1
6.95,4,6.6,1,5.7,5.4,3,66.5,58.1,1
6.74,2,6.3,0,6.1,6.2,1,64.2,67.4,1
6.95,1,6.1,1,5.0,5.9,3,67.3,52.5,1
7.62,3,8.3,1,7.4,6.1,2,73.6,75.4,1
5.29,0,7.4,0,5.8,5.1,2,46.3,63.4,0
8.16,4,6.8,1,7.1,7.4,3,83.0,75.6,1
5.76,3,6.9,1,5.2,6.1,2,54.1,65.6,0
6.8,3,4.1,0,7.3,6.9,3,74.7,60.0,1
6.62,1,7.3,1,5.1,4.6,2,61.2,61.8,0
6.71,3,5.3,1,6.9,6.9,2,72.4,77.2,1
